"NewQuestion","MC",""
"ID","BinomDistMC2-1",""
"Title","BinomDistMC2-1",""
"QuestionText","A student must answer 6 multiple choice questions for a test, but the student did not study well. There are 5 answers per question but only one is correct. If the student randomly guesses on each question, what is the probability that the student answers 4 or more questions correctly?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.727"
"Option","0","0.287"
"Option","100","0.017"
"Option","0","0.582"
"Hint","First, you need to find the number of successes, the number of trials, and infer the probability p from the context of this question. Apply the correct formula and round and select the closest answer.",""
"Feedback","1: Find successes x. 2: Find trials n. 3: Infer p. 4: Apply exact binomial formula.",""
"NewQuestion","MC",""
"ID","BinomDistMC2-2",""
"Title","BinomDistMC2-2",""
"QuestionText","A student must answer 6 multiple choice questions for a test, but the student did not study well. There are 5 answers per question but only one is correct. If the student randomly guesses on each question, what is the probability that the student answers 3 or more questions correctly?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.212"
"Option","100","0.099"
"Option","0","0.203"
"Option","0","0.472"
"Hint","First, you need to find the number of successes, the number of trials, and infer the probability p from the context of this question. Apply the correct formula and round and select the closest answer.",""
"Feedback","1: Find successes x. 2: Find trials n. 3: Infer p. 4: Apply exact binomial formula.",""
"NewQuestion","MC",""
"ID","BinomDistMC2-3",""
"Title","BinomDistMC2-3",""
"QuestionText","A student must answer 7 multiple choice questions for a test, but the student did not study well. There are 4 answers per question but only one is correct. If the student randomly guesses on each question, what is the probability that the student answers greater than 4 questions correctly?",""
"Points","4",""
"Difficulty","1",""
"Option","100","0.013"
"Option","0","0.332"
"Option","0","0.109"
"Option","0","0.809"
"Hint","First, you need to find the number of successes, the number of trials, and infer the probability p from the context of this question. Apply the correct formula and round and select the closest answer.",""
"Feedback","1: Find successes x. 2: Find trials n. 3: Infer p. 4: Apply exact binomial formula.",""
"NewQuestion","MC",""
"ID","BinomDistMC2-4",""
"Title","BinomDistMC2-4",""
"QuestionText","A student must answer 6 multiple choice questions for a test, but the student did not study well. There are 5 answers per question but only one is correct. If the student randomly guesses on each question, what is the probability that the student answers 3 or more questions correctly?",""
"Points","4",""
"Difficulty","1",""
"Option","100","0.099"
"Option","0","0.573"
"Option","0","0.36"
"Option","0","0.349"
"Hint","First, you need to find the number of successes, the number of trials, and infer the probability p from the context of this question. Apply the correct formula and round and select the closest answer.",""
"Feedback","1: Find successes x. 2: Find trials n. 3: Infer p. 4: Apply exact binomial formula.",""
"NewQuestion","MC",""
"ID","BinomDistMC2-5",""
"Title","BinomDistMC2-5",""
"QuestionText","A student must answer 7 multiple choice questions for a test, but the student did not study well. There are 5 answers per question but only one is correct. If the student randomly guesses on each question, what is the probability that the student answers greater than 4 questions correctly?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.68"
"Option","0","0.923"
"Option","0","0.074"
"Option","100","0.005"
"Hint","First, you need to find the number of successes, the number of trials, and infer the probability p from the context of this question. Apply the correct formula and round and select the closest answer.",""
"Feedback","1: Find successes x. 2: Find trials n. 3: Infer p. 4: Apply exact binomial formula.",""
