"NewQuestion","MC",""
"ID","BinomExactMC2-1",""
"Title","BinomExactMC2-1",""
"QuestionText","A student must answer 20 multiple choice questions for a test, but the student did not study well. There are 5 answers per question but only one is correct. If the student randomly guesses on each question, what is the probability that the student answers 1 questions correctly?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.132"
"Option","0","0.835"
"Option","100","0.058"
"Option","0","0.92"
"Hint","First, you need to find the number of successes, the number of trials, and infer the probability p from the context of this question. Apply the correct formula and round and select the closest answer.",""
"Feedback","1: Find successes x. 2: Find trials n. 3: Infer p. 4: Apply exact binomial formula.",""
"NewQuestion","MC",""
"ID","BinomExactMC2-2",""
"Title","BinomExactMC2-2",""
"QuestionText","A student must answer 18 multiple choice questions for a test, but the student did not study well. There are 3 answers per question but only one is correct. If the student randomly guesses on each question, what is the probability that the student answers 5 questions correctly?",""
"Points","4",""
"Difficulty","1",""
"Option","100","0.181"
"Option","0","0.464"
"Option","0","0.021"
"Option","0","0.407"
"Hint","First, you need to find the number of successes, the number of trials, and infer the probability p from the context of this question. Apply the correct formula and round and select the closest answer.",""
"Feedback","1: Find successes x. 2: Find trials n. 3: Infer p. 4: Apply exact binomial formula.",""
"NewQuestion","MC",""
"ID","BinomExactMC2-3",""
"Title","BinomExactMC2-3",""
"QuestionText","A student must answer 10 multiple choice questions for a test, but the student did not study well. There are 3 answers per question but only one is correct. If the student randomly guesses on each question, what is the probability that the student answers 7 questions correctly?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.25"
"Option","100","0.016"
"Option","0","0.726"
"Option","0","0.894"
"Hint","First, you need to find the number of successes, the number of trials, and infer the probability p from the context of this question. Apply the correct formula and round and select the closest answer.",""
"Feedback","1: Find successes x. 2: Find trials n. 3: Infer p. 4: Apply exact binomial formula.",""
"NewQuestion","MC",""
"ID","BinomExactMC2-4",""
"Title","BinomExactMC2-4",""
"QuestionText","A student must answer 19 multiple choice questions for a test, but the student did not study well. There are 4 answers per question but only one is correct. If the student randomly guesses on each question, what is the probability that the student answers 2 questions correctly?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.574"
"Option","100","0.08"
"Option","0","0.432"
"Option","0","0.847"
"Hint","First, you need to find the number of successes, the number of trials, and infer the probability p from the context of this question. Apply the correct formula and round and select the closest answer.",""
"Feedback","1: Find successes x. 2: Find trials n. 3: Infer p. 4: Apply exact binomial formula.",""
"NewQuestion","MC",""
"ID","BinomExactMC2-5",""
"Title","BinomExactMC2-5",""
"QuestionText","A student must answer 17 multiple choice questions for a test, but the student did not study well. There are 6 answers per question but only one is correct. If the student randomly guesses on each question, what is the probability that the student answers 1 questions correctly?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.504"
"Option","0","0.808"
"Option","0","0.606"
"Option","100","0.153"
"Hint","First, you need to find the number of successes, the number of trials, and infer the probability p from the context of this question. Apply the correct formula and round and select the closest answer.",""
"Feedback","1: Find successes x. 2: Find trials n. 3: Infer p. 4: Apply exact binomial formula.",""
"NewQuestion","MC",""
"ID","BinomExactMC2-6",""
"Title","BinomExactMC2-6",""
"QuestionText","A student must answer 16 multiple choice questions for a test, but the student did not study well. There are 4 answers per question but only one is correct. If the student randomly guesses on each question, what is the probability that the student answers 2 questions correctly?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.803"
"Option","0","0.404"
"Option","100","0.134"
"Option","0","0.991"
"Hint","First, you need to find the number of successes, the number of trials, and infer the probability p from the context of this question. Apply the correct formula and round and select the closest answer.",""
"Feedback","1: Find successes x. 2: Find trials n. 3: Infer p. 4: Apply exact binomial formula.",""
"NewQuestion","MC",""
"ID","BinomExactMC2-7",""
"Title","BinomExactMC2-7",""
"QuestionText","A student must answer 19 multiple choice questions for a test, but the student did not study well. There are 6 answers per question but only one is correct. If the student randomly guesses on each question, what is the probability that the student answers 5 questions correctly?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.178"
"Option","0","0.322"
"Option","100","0.116"
"Option","0","0.451"
"Hint","First, you need to find the number of successes, the number of trials, and infer the probability p from the context of this question. Apply the correct formula and round and select the closest answer.",""
"Feedback","1: Find successes x. 2: Find trials n. 3: Infer p. 4: Apply exact binomial formula.",""
"NewQuestion","MC",""
"ID","BinomExactMC2-8",""
"Title","BinomExactMC2-8",""
"QuestionText","A student must answer 18 multiple choice questions for a test, but the student did not study well. There are 6 answers per question but only one is correct. If the student randomly guesses on each question, what is the probability that the student answers 6 questions correctly?",""
"Points","4",""
"Difficulty","1",""
"Option","100","0.045"
"Option","0","0.542"
"Option","0","0.508"
"Option","0","0.313"
"Hint","First, you need to find the number of successes, the number of trials, and infer the probability p from the context of this question. Apply the correct formula and round and select the closest answer.",""
"Feedback","1: Find successes x. 2: Find trials n. 3: Infer p. 4: Apply exact binomial formula.",""
"NewQuestion","MC",""
