"NewQuestion","MC",""
"ID","2PropCIMC1-1",""
"Title","2PropCIMC1-1",""
"QuestionText","A new pesticide is tested on a group of crop-destroying beetles. The sample data shows that 0.67 of this first group dies as a result. A second group of beetles is dosed with a standard pesticide, and 0.54 of this second group dies as a result. 299 beetles are in the first test-pesticide group and 250 beetles are in the second standard-pesticide group. What is the 95% CI for the difference between proportions in the test group vs. the standard group?",""
"Points","4",""
"Difficulty","1",""
"Option","0","(0.75, 0.97)"
"Option","0","(0.7, 0.85)"
"Option","100","(0.05, 0.21)"
"Option","0","(0.45, 0.87)"
"Option","0","(0.53, 0.97)"
"Hint","You'll need to calculate a confidence interval for the difference between 2 independent proportions. Pick the closest answer.",""
"Feedback","Did you use phat1 - phat2 - 1.96*sqrt(phat1*qhat1/n1 + phat2*qhat2/n2), and phat1 - phat2 + 1.96*sqrt(phat*qhat/n1 + phat2*qhat2/n2)?",""
"NewQuestion","MC",""
"ID","2PropCIMC1-2",""
"Title","2PropCIMC1-2",""
"QuestionText","A new pesticide is tested on a group of crop-destroying beetles. The sample data shows that 0.79 of this first group dies as a result. A second group of beetles is dosed with a standard pesticide, and 0.37 of this second group dies as a result. 238 beetles are in the first test-pesticide group and 308 beetles are in the second standard-pesticide group. What is the 95% CI for the difference between proportions in the test group vs. the standard group?",""
"Points","4",""
"Difficulty","1",""
"Option","0","(0.01, 0.81)"
"Option","0","(0.16, 0.78)"
"Option","0","(0.14, 0.67)"
"Option","0","(0.78, 0.86)"
"Option","100","(0.35, 0.49)"
"Hint","You'll need to calculate a confidence interval for the difference between 2 independent proportions. Pick the closest answer.",""
"Feedback","Did you use phat1 - phat2 - 1.96*sqrt(phat1*qhat1/n1 + phat2*qhat2/n2), and phat1 - phat2 + 1.96*sqrt(phat*qhat/n1 + phat2*qhat2/n2)?",""
"NewQuestion","MC",""
"ID","2PropCIMC1-3",""
"Title","2PropCIMC1-3",""
"QuestionText","A new pesticide is tested on a group of crop-destroying beetles. The sample data shows that 0.65 of this first group dies as a result. A second group of beetles is dosed with a standard pesticide, and 0.44 of this second group dies as a result. 124 beetles are in the first test-pesticide group and 217 beetles are in the second standard-pesticide group. What is the 95% CI for the difference between proportions in the test group vs. the standard group?",""
"Points","4",""
"Difficulty","1",""
"Option","100","(0.1, 0.32)"
"Option","0","(0.04, 0.8)"
"Option","0","(0.38, 0.45)"
"Option","0","(0.84, 0.99)"
"Option","0","(0.86, 0.93)"
"Hint","You'll need to calculate a confidence interval for the difference between 2 independent proportions. Pick the closest answer.",""
"Feedback","Did you use phat1 - phat2 - 1.96*sqrt(phat1*qhat1/n1 + phat2*qhat2/n2), and phat1 - phat2 + 1.96*sqrt(phat*qhat/n1 + phat2*qhat2/n2)?",""
"NewQuestion","MC",""
"ID","2PropCIMC1-4",""
"Title","2PropCIMC1-4",""
"QuestionText","A new pesticide is tested on a group of crop-destroying beetles. The sample data shows that 0.74 of this first group dies as a result. A second group of beetles is dosed with a standard pesticide, and 0.47 of this second group dies as a result. 264 beetles are in the first test-pesticide group and 233 beetles are in the second standard-pesticide group. What is the 95% CI for the difference between proportions in the test group vs. the standard group?",""
"Points","4",""
"Difficulty","1",""
"Option","0","(0.57, 0.64)"
"Option","100","(0.19, 0.35)"
"Option","0","(0.63, 0.77)"
"Option","0","(0.6, 0.9)"
"Option","0","(0, 0.54)"
"Hint","You'll need to calculate a confidence interval for the difference between 2 independent proportions. Pick the closest answer.",""
"Feedback","Did you use phat1 - phat2 - 1.96*sqrt(phat1*qhat1/n1 + phat2*qhat2/n2), and phat1 - phat2 + 1.96*sqrt(phat*qhat/n1 + phat2*qhat2/n2)?",""
"NewQuestion","MC",""
"ID","2PropCIMC1-5",""
"Title","2PropCIMC1-5",""
"QuestionText","A new pesticide is tested on a group of crop-destroying beetles. The sample data shows that 0.68 of this first group dies as a result. A second group of beetles is dosed with a standard pesticide, and 0.43 of this second group dies as a result. 196 beetles are in the first test-pesticide group and 123 beetles are in the second standard-pesticide group. What is the 95% CI for the difference between proportions in the test group vs. the standard group?",""
"Points","4",""
"Difficulty","1",""
"Option","100","(0.14, 0.36)"
"Option","0","(0.57, 0.73)"
"Option","0","(0, 0.55)"
"Option","0","(0.76, 0.92)"
"Option","0","(0.61, 0.84)"
"Hint","You'll need to calculate a confidence interval for the difference between 2 independent proportions. Pick the closest answer.",""
