"NewQuestion","MC",""
"ID","MeanDistMC1-1",""
"Title","MeanDistMC1-1",""
"QuestionText","A student conducts a survey for her class project. She asks 6 other students a series of questions about their study habits. She knows from previous research that all students study an average of 2.32 hours per day with a standard deviation of 2.89. If students in her own sample study an average of 2.06 hours per day, then what is the probability of observing this sample mean or less?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.95"
"Option","0","0.88"
"Option","100","0.41"
"Option","0","0.83"
"Option","0","0.9"
"Hint","You'll need to correctly distinguish between sample and population when calculating Z for this question. Pick the closest answer.",""
"Feedback","Z = (xbar - mu)/(s/sqrt(n)). The probability can be found directly from the Z table.",""
"NewQuestion","MC",""
"ID","MeanDistMC1-2",""
"Title","MeanDistMC1-2",""
"QuestionText","A student conducts a survey for her class project. She asks 6 other students a series of questions about their study habits. She knows from previous research that all students study an average of 2.67 hours per day with a standard deviation of 1.99. If students in her own sample study an average of 3.58 hours per day, then what is the probability of observing this sample mean or less?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.71"
"Option","100","0.87"
"Option","0","0.57"
"Option","0","0.2"
"Option","0","0.11"
"Hint","You'll need to correctly distinguish between sample and population when calculating Z for this question. Pick the closest answer.",""
"Feedback","Z = (xbar - mu)/(s/sqrt(n)). The probability can be found directly from the Z table.",""
"NewQuestion","MC",""
"ID","MeanDistMC1-3",""
"Title","MeanDistMC1-3",""
"QuestionText","A student conducts a survey for her class project. She asks 5 other students a series of questions about their study habits. She knows from previous research that all students study an average of 2.19 hours per day with a standard deviation of 2.4. If students in her own sample study an average of 3.09 hours per day, then what is the probability of observing this sample mean or less?",""
"Points","4",""
"Difficulty","1",""
"Option","100","0.8"
"Option","0","0.89"
"Option","0","0.19"
"Option","0","0.97"
"Option","0","0.44"
"Hint","You'll need to correctly distinguish between sample and population when calculating Z for this question. Pick the closest answer.",""
"Feedback","Z = (xbar - mu)/(s/sqrt(n)). The probability can be found directly from the Z table.",""
"NewQuestion","MC",""
"ID","MeanDistMC1-4",""
"Title","MeanDistMC1-4",""
"QuestionText","A student conducts a survey for her class project. She asks 6 other students a series of questions about their study habits. She knows from previous research that all students study an average of 3.52 hours per day with a standard deviation of 1.92. If students in her own sample study an average of 2.32 hours per day, then what is the probability of observing this sample mean or less?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.9"
"Option","0","-0.01"
"Option","0","0.43"
"Option","0","0.68"
"Option","100","0.06"
"Hint","You'll need to correctly distinguish between sample and population when calculating Z for this question. Pick the closest answer.",""
"Feedback","Z = (xbar - mu)/(s/sqrt(n)). The probability can be found directly from the Z table.",""
"NewQuestion","MC",""
"ID","MeanDistMC1-5",""
"Title","MeanDistMC1-5",""
"QuestionText","A student conducts a survey for her class project. She asks 5 other students a series of questions about their study habits. She knows from previous research that all students study an average of 3.81 hours per day with a standard deviation of 2.32. If students in her own sample study an average of 2.02 hours per day, then what is the probability of observing this sample mean or less?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.28"
"Option","0","0.37"
"Option","0","0.43"
"Option","0","0.69"
"Option","100","0.04"
"Hint","You'll need to correctly distinguish between sample and population when calculating Z for this question. Pick the closest answer.",""
"Feedback","Z = (xbar - mu)/(s/sqrt(n)). The probability can be found directly from the Z table.",""
"NewQuestion","MC",""
"ID","MeanDistMC1-6",""
"Title","MeanDistMC1-6",""
"QuestionText","A student conducts a survey for her class project. She asks 6 other students a series of questions about their study habits. She knows from previous research that all students study an average of 3.7 hours per day with a standard deviation of 2.62. If students in her own sample study an average of 3.71 hours per day, then what is the probability of observing this sample mean or less?",""
"Points","4",""
"Difficulty","1",""
"Option","100","0.5"
"Option","0","0.57"
"Option","0","0.3"
"Option","0","0.74"
"Option","0","0.78"
"Hint","You'll need to correctly distinguish between sample and population when calculating Z for this question. Pick the closest answer.",""
"Feedback","Z = (xbar - mu)/(s/sqrt(n)). The probability can be found directly from the Z table.",""
"NewQuestion","MC",""
"ID","MeanDistMC1-7",""
"Title","MeanDistMC1-7",""
"QuestionText","A student conducts a survey for her class project. She asks 5 other students a series of questions about their study habits. She knows from previous research that all students study an average of 2.98 hours per day with a standard deviation of 2.48. If students in her own sample study an average of 3.2 hours per day, then what is the probability of observing this sample mean or less?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.15"
"Option","0","0.4"
"Option","100","0.58"
"Option","0","0.24"
"Option","0","0.28"
"Hint","You'll need to correctly distinguish between sample and population when calculating Z for this question. Pick the closest answer.",""
"Feedback","Z = (xbar - mu)/(s/sqrt(n)). The probability can be found directly from the Z table.",""
"NewQuestion","MC",""
"ID","MeanDistMC1-8",""
"Title","MeanDistMC1-8",""
"QuestionText","A student conducts a survey for her class project. She asks 6 other students a series of questions about their study habits. She knows from previous research that all students study an average of 3.53 hours per day with a standard deviation of 2.93. If students in her own sample study an average of 3.57 hours per day, then what is the probability of observing this sample mean or less?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.63"
"Option","0","0.61"
"Option","100","0.51"
"Option","0","0.35"
"Option","0","0.06"
"Hint","You'll need to correctly distinguish between sample and population when calculating Z for this question. Pick the closest answer.",""
"Feedback","Z = (xbar - mu)/(s/sqrt(n)). The probability can be found directly from the Z table.",""
"NewQuestion","MC",""
"ID","MeanDistMC1-9",""
"Title","MeanDistMC1-9",""
"QuestionText","A student conducts a survey for her class project. She asks 5 other students a series of questions about their study habits. She knows from previous research that all students study an average of 2.75 hours per day with a standard deviation of 2.9. If students in her own sample study an average of 2.18 hours per day, then what is the probability of observing this sample mean or less?",""
"Points","4",""
"Difficulty","1",""
"Option","100","0.33"
"Option","0","0.97"
"Option","0","0.27"
"Option","0","0.58"
"Option","0","0.89"
"Hint","You'll need to correctly distinguish between sample and population when calculating Z for this question. Pick the closest answer.",""
"Feedback","Z = (xbar - mu)/(s/sqrt(n)). The probability can be found directly from the Z table.",""
"NewQuestion","MC",""
"ID","MeanDistMC1-10",""
"Title","MeanDistMC1-10",""
"QuestionText","A student conducts a survey for her class project. She asks 5 other students a series of questions about their study habits. She knows from previous research that all students study an average of 3.72 hours per day with a standard deviation of 2.59. If students in her own sample study an average of 3.09 hours per day, then what is the probability of observing this sample mean or less?",""
"Points","4",""
"Difficulty","1",""
"Option","100","0.29"
"Option","0","0.6"
"Option","0","0.22"
"Option","0","0.4"
"Option","0","0.18"
"Hint","You'll need to correctly distinguish between sample and population when calculating Z for this question. Pick the closest answer.",""
"Feedback","Z = (xbar - mu)/(s/sqrt(n)). The probability can be found directly from the Z table.",""
"NewQuestion","MC",""
"ID","MeanDistMC1-11",""
"Title","MeanDistMC1-11",""
"QuestionText","A student conducts a survey for her class project. She asks 5 other students a series of questions about their study habits. She knows from previous research that all students study an average of 2.51 hours per day with a standard deviation of 2.23. If students in her own sample study an average of 3.78 hours per day, then what is the probability of observing this sample mean or less?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.62"
"Option","100","0.9"
"Option","0","0.18"
"Option","0","0.58"
"Option","0","0.37"
"Hint","You'll need to correctly distinguish between sample and population when calculating Z for this question. Pick the closest answer.",""
"Feedback","Z = (xbar - mu)/(s/sqrt(n)). The probability can be found directly from the Z table.",""
"NewQuestion","MC",""
"ID","MeanDistMC1-12",""
"Title","MeanDistMC1-12",""
"QuestionText","A student conducts a survey for her class project. She asks 5 other students a series of questions about their study habits. She knows from previous research that all students study an average of 3.41 hours per day with a standard deviation of 2.74. If students in her own sample study an average of 2.44 hours per day, then what is the probability of observing this sample mean or less?",""
"Points","4",""
"Difficulty","1",""
"Option","0","-0.01"
"Option","0","0.71"
"Option","0","0.58"
"Option","0","0.56"
"Option","100","0.21"
"Hint","You'll need to correctly distinguish between sample and population when calculating Z for this question. Pick the closest answer.",""
"Feedback","Z = (xbar - mu)/(s/sqrt(n)). The probability can be found directly from the Z table.",""
"NewQuestion","MC",""
"ID","MeanDistMC1-13",""
"Title","MeanDistMC1-13",""
"QuestionText","A student conducts a survey for her class project. She asks 6 other students a series of questions about their study habits. She knows from previous research that all students study an average of 3.36 hours per day with a standard deviation of 2.9. If students in her own sample study an average of 2.99 hours per day, then what is the probability of observing this sample mean or less?",""
"Points","4",""
"Difficulty","1",""
"Option","100","0.38"
"Option","0","0.76"
"Option","0","0.7"
"Option","0","0.13"
"Option","0","0.9"
"Hint","You'll need to correctly distinguish between sample and population when calculating Z for this question. Pick the closest answer.",""
"Feedback","Z = (xbar - mu)/(s/sqrt(n)). The probability can be found directly from the Z table.",""
"NewQuestion","MC",""
"ID","MeanDistMC1-14",""
"Title","MeanDistMC1-14",""
"QuestionText","A student conducts a survey for her class project. She asks 7 other students a series of questions about their study habits. She knows from previous research that all students study an average of 2.68 hours per day with a standard deviation of 2.69. If students in her own sample study an average of 2.16 hours per day, then what is the probability of observing this sample mean or less?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.44"
"Option","0","0.11"
"Option","0","0.1"
"Option","0","0.19"
"Option","100","0.31"
"Hint","You'll need to correctly distinguish between sample and population when calculating Z for this question. Pick the closest answer.",""
"Feedback","Z = (xbar - mu)/(s/sqrt(n)). The probability can be found directly from the Z table.",""
"NewQuestion","MC",""
"ID","MeanDistMC1-15",""
"Title","MeanDistMC1-15",""
"QuestionText","A student conducts a survey for her class project. She asks 7 other students a series of questions about their study habits. She knows from previous research that all students study an average of 3.79 hours per day with a standard deviation of 2. If students in her own sample study an average of 3.16 hours per day, then what is the probability of observing this sample mean or less?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.08"
"Option","0","0.04"
"Option","0","0.75"
"Option","100","0.2"
"Option","0","0.05"
"Hint","You'll need to correctly distinguish between sample and population when calculating Z for this question. Pick the closest answer.",""
"Feedback","Z = (xbar - mu)/(s/sqrt(n)). The probability can be found directly from the Z table.",""
"NewQuestion","MC",""
"ID","MeanDistMC1-16",""
"Title","MeanDistMC1-16",""
"QuestionText","A student conducts a survey for her class project. She asks 5 other students a series of questions about their study habits. She knows from previous research that all students study an average of 2.94 hours per day with a standard deviation of 2.06. If students in her own sample study an average of 2.42 hours per day, then what is the probability of observing this sample mean or less?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.02"
"Option","0","0.35"
"Option","0","0.76"
"Option","0","0.94"
"Option","100","0.29"
"Hint","You'll need to correctly distinguish between sample and population when calculating Z for this question. Pick the closest answer.",""
"Feedback","Z = (xbar - mu)/(s/sqrt(n)). The probability can be found directly from the Z table.",""
"NewQuestion","MC",""
"ID","MeanDistMC1-17",""
"Title","MeanDistMC1-17",""
"QuestionText","A student conducts a survey for her class project. She asks 7 other students a series of questions about their study habits. She knows from previous research that all students study an average of 3.54 hours per day with a standard deviation of 2.27. If students in her own sample study an average of 2.95 hours per day, then what is the probability of observing this sample mean or less?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.9"
"Option","0","0.84"
"Option","0","0.97"
"Option","0","0.59"
"Option","100","0.25"
"Hint","You'll need to correctly distinguish between sample and population when calculating Z for this question. Pick the closest answer.",""
"Feedback","Z = (xbar - mu)/(s/sqrt(n)). The probability can be found directly from the Z table.",""
"NewQuestion","MC",""
"ID","MeanDistMC1-18",""
"Title","MeanDistMC1-18",""
"QuestionText","A student conducts a survey for her class project. She asks 5 other students a series of questions about their study habits. She knows from previous research that all students study an average of 3.01 hours per day with a standard deviation of 2.19. If students in her own sample study an average of 2.31 hours per day, then what is the probability of observing this sample mean or less?",""
"Points","4",""
"Difficulty","1",""
"Option","0","0.61"
"Option","0","0.69"
"Option","0","0.82"
"Option","100","0.24"
"Option","0","0.33"
"Hint","You'll need to correctly distinguish between sample and population when calculating Z for this question. Pick the closest answer.",""
"Feedback","Z = (xbar - mu)/(s/sqrt(n)). The probability can be found directly from the Z table.",""
"NewQuestion","MC",""
"ID","MeanDistMC1-19",""
"Title","MeanDistMC1-19",""
"QuestionText","A student conducts a survey for her class project. She asks 5 other students a series of questions about their study habits. She knows from previous research that all students study an average of 3.7 hours per day with a standard deviation of 2.45. If students in her own sample study an average of 3.68 hours per day, then what is the probability of observing this sample mean or less?",""
"Points","4",""
