"NewQuestion","MC",""
"ID","EmpRuleMC1-1",""
"Title","EmpRuleMC1-1",""
"QuestionText","Given that some normally distributed data has a mean of 974.78 and a standard deviation of 72.31. What is the upper endpoint of the interval that is centered on the mean and includes 99.7% of all the data?",""
"Points","4",""
"Difficulty","1",""
"Option","100","1191.71"
"Option","0","1127.7"
"Option","0","814.37"
"Option","0","1142.89"
"Hint","This is an empirical rule question.",""
"Feedback","1: Determine if the endpoint is lower or upper. 2: Find the probability centered on the mean (68, 95, or 99.7%). 3: Subtract or add 1, 2, or 3 SDs from the mean depending on steps 1 and 2.",""
"NewQuestion","MC",""
"ID","EmpRuleMC1-2",""
"Title","EmpRuleMC1-2",""
"QuestionText","Given that some normally distributed data has a mean of 1441.04 and a standard deviation of 96.1. What is the lower endpoint of the interval that is centered on the mean and includes 95% of all the data?",""
"Points","4",""
"Difficulty","1",""
"Option","0","1322.77"
"Option","0","1574"
"Option","100","1248.84"
"Option","0","1444.8"
"Hint","This is an empirical rule question.",""
"Feedback","1: Determine if the endpoint is lower or upper. 2: Find the probability centered on the mean (68, 95, or 99.7%). 3: Subtract or add 1, 2, or 3 SDs from the mean depending on steps 1 and 2.",""
"NewQuestion","MC",""
"ID","EmpRuleMC1-3",""
"Title","EmpRuleMC1-3",""
"QuestionText","Given that some normally distributed data has a mean of 1329.17 and a standard deviation of 87.48. What is the lower endpoint of the interval that is centered on the mean and includes 95% of all the data?",""
"Points","4",""
"Difficulty","1",""
"Option","0","1307.91"
"Option","100","1154.21"
"Option","0","1227.01"
"Option","0","1560.06"
"Hint","This is an empirical rule question.",""
"Feedback","1: Determine if the endpoint is lower or upper. 2: Find the probability centered on the mean (68, 95, or 99.7%). 3: Subtract or add 1, 2, or 3 SDs from the mean depending on steps 1 and 2.",""
"NewQuestion","MC",""
"ID","EmpRuleMC1-4",""
"Title","EmpRuleMC1-4",""
"QuestionText","Given that some normally distributed data has a mean of 878.84 and a standard deviation of 126.7. What is the lower endpoint of the interval that is centered on the mean and includes 95% of all the data?",""
"Points","4",""
"Difficulty","1",""
"Option","0","539.25"
"Option","0","1013.94"
"Option","100","625.44"
"Option","0","694.67"
"Hint","This is an empirical rule question.",""
"Feedback","1: Determine if the endpoint is lower or upper. 2: Find the probability centered on the mean (68, 95, or 99.7%). 3: Subtract or add 1, 2, or 3 SDs from the mean depending on steps 1 and 2.",""
"NewQuestion","MC",""
"ID","EmpRuleMC1-5",""
"Title","EmpRuleMC1-5",""
"QuestionText","Given that some normally distributed data has a mean of 974.55 and a standard deviation of 116.3. What is the upper endpoint of the interval that is centered on the mean and includes 99.7% of all the data?",""
"Points","4",""
"Difficulty","1",""
"Option","0","881.64"
"Option","0","908.88"
"Option","100","1323.45"
"Option","0","646.22"
"Hint","This is an empirical rule question.",""
"Feedback","1: Determine if the endpoint is lower or upper. 2: Find the probability centered on the mean (68, 95, or 99.7%). 3: Subtract or add 1, 2, or 3 SDs from the mean depending on steps 1 and 2.",""
"NewQuestion","MC",""
"ID","EmpRuleMC1-6",""
"Title","EmpRuleMC1-6",""
"QuestionText","Given that some normally distributed data has a mean of 1623.47 and a standard deviation of 113.54. What is the upper endpoint of the interval that is centered on the mean and includes 99.7% of all the data?",""
"Points","4",""
"Difficulty","1",""
"Option","0","1608.27"
"Option","100","1964.09"
"Option","0","1734.26"
"Option","0","1911.29"
"Hint","This is an empirical rule question.",""
"Feedback","1: Determine if the endpoint is lower or upper. 2: Find the probability centered on the mean (68, 95, or 99.7%). 3: Subtract or add 1, 2, or 3 SDs from the mean depending on steps 1 and 2.",""
"NewQuestion","MC",""
"ID","EmpRuleMC1-7",""
"Title","EmpRuleMC1-7",""
"QuestionText","Given that some normally distributed data has a mean of 1049.74 and a standard deviation of 108.23. What is the upper endpoint of the interval that is centered on the mean and includes 99.7% of all the data?",""
"Points","4",""
"Difficulty","1",""
"Option","0","1126.33"
"Option","0","870.35"
"Option","0","1023.42"
"Option","100","1374.43"
"Hint","This is an empirical rule question.",""
"Feedback","1: Determine if the endpoint is lower or upper. 2: Find the probability centered on the mean (68, 95, or 99.7%). 3: Subtract or add 1, 2, or 3 SDs from the mean depending on steps 1 and 2.",""
"NewQuestion","MC",""
"ID","EmpRuleMC1-8",""
"Title","EmpRuleMC1-8",""
"QuestionText","Given that some normally distributed data has a mean of 785.71 and a standard deviation of 134.69. What is the lower endpoint of the interval that is centered on the mean and includes 99.7% of all the data?",""
"Points","4",""
"Difficulty","1",""
"Option","100","381.64"
"Option","0","609.61"
"Option","0","920.09"
"Option","0","486.66"
"Hint","This is an empirical rule question.",""
"Feedback","1: Determine if the endpoint is lower or upper. 2: Find the probability centered on the mean (68, 95, or 99.7%). 3: Subtract or add 1, 2, or 3 SDs from the mean depending on steps 1 and 2.",""
"NewQuestion","MC",""
"ID","EmpRuleMC1-9",""
"Title","EmpRuleMC1-9",""
"QuestionText","Given that some normally distributed data has a mean of 445.93 and a standard deviation of 121.6. What is the upper endpoint of the interval that is centered on the mean and includes 99.7% of all the data?",""
"Points","4",""
"Difficulty","1",""
"Option","0","426.63"
"Option","100","810.73"
"Option","0","301.78"
"Option","0","585.59"
"Hint","This is an empirical rule question.",""
"Feedback","1: Determine if the endpoint is lower or upper. 2: Find the probability centered on the mean (68, 95, or 99.7%). 3: Subtract or add 1, 2, or 3 SDs from the mean depending on steps 1 and 2.",""
"NewQuestion","MC",""
"ID","EmpRuleMC1-10",""
"Title","EmpRuleMC1-10",""
"QuestionText","Given that some normally distributed data has a mean of 1202.16 and a standard deviation of 92.96. What is the lower endpoint of the interval that is centered on the mean and includes 95% of all the data?",""
"Points","4",""
"Difficulty","1",""
"Option","0","1344.18"
"Option","0","1089.25"
"Option","0","1054.19"
"Option","100","1016.24"
"Hint","This is an empirical rule question.",""
"Feedback","1: Determine if the endpoint is lower or upper. 2: Find the probability centered on the mean (68, 95, or 99.7%). 3: Subtract or add 1, 2, or 3 SDs from the mean depending on steps 1 and 2.",""
"NewQuestion","MC",""
"ID","EmpRuleMC1-11",""
"Title","EmpRuleMC1-11",""
"QuestionText","Given that some normally distributed data has a mean of 766.62 and a standard deviation of 138.61. What is the lower endpoint of the interval that is centered on the mean and includes 99.7% of all the data?",""
"Points","4",""
"Difficulty","1",""
"Option","0","1105.62"
"Option","100","350.79"
"Option","0","474.17"
"Option","0","882.42"
"Hint","This is an empirical rule question.",""
"Feedback","1: Determine if the endpoint is lower or upper. 2: Find the probability centered on the mean (68, 95, or 99.7%). 3: Subtract or add 1, 2, or 3 SDs from the mean depending on steps 1 and 2.",""
"NewQuestion","MC",""
"ID","EmpRuleMC1-12",""
"Title","EmpRuleMC1-12",""
